"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"
"Luxore"	"Luxor"	"s"	"Luxore, Luxorasse"	"Staare Egyptesne"	"sted i Egypt"
"Ure"	"Ur"	"s"	"Ure, Urese"	"Staare Sumerisnie"	"sted i Sumer"
"Uruke"	"Uruk"	"s"	"Uruke, Urukese"	"Staare Mesopotamijesne"	"sted i Mesopotamia"
"Aswane"	"Aswan"	"s"	"Aswane, Aswanese"	"Staare Egyptesne"	"sted i Egypt"
"Athene"	"Athene"	"s"	"Athene, Athenese"	"Staare Hellasisnie"	"sted i Hellas"
"Kairo"	"Kairo"	"s"	"Kairo, Kairose"	"Staare Egyptesne"	"sted i Egypt"
"Roma, Rome"	"Roma"	"s"	"Roma, Romese"	"Staare Italijesne"	"sted i Italia"
"Pompeji"	"Pompeji"	"s"	"Pompeji, Pompejese"	"Staare Italijesne"	"sted i Italia"
"Jerusaleme"	"Jerusalem"	"s"	"Jerusaleme, Jerusalemese"	"Staare Israelesne"	"sted i Israel"
"Firenze, Florense"	"Firenze"	"s"	"Firenze,Firenzese; Florense, Florensese"	"Staare Italijesne"	"sted i Italia"
"Cordoba"	"Córdoba"	"s"	"Cordoba, Cordobese"	"Staare Spanijesne"	"sted i Spania"
"Alhambra"	"Alhambra"	"s"	"Alhambra, Alhambrese"	"Staare Spanijesne"	"sted i Spania"
"Lindisfarne"	"Lindisfarne"	"s"	"Lindisfarne, Lindisfarnese"	"Klostere Englaantesne"	"Kloster i England"
"Istanbule"	"Istanbul"	"s"	"Istanbule, Istanbulese"	"Staare Tyrkijesne"	"sted i Tyrkia"
"Bifroste"	"Bifrost"	"s"	"Bifroste, Bifrostese"	"Vikingaalteren pruvvie"	"Bru fra Vikingtida"
"Rouene"	"Rouen"	"s"	"Rouene, Rouenasse"	"Staare Frankrijhkesne"	"sted i Frankrike"
"Londone"	"London"	"s"	"Londone, Londonasse"	"Staare Englaantesne"	"sted i England"
"Yorke"	"York"	"s"	"Yorke, Yorkese"	"Staare Englaantesne"	"sted i England"
"Dubline"	"Dublin"	"s"	"Dubline, Dublinasse"	"Staare Irlaantesne"	"sted i Irland"
"Calicute"	"Calicut"	"s"	"Calicute, Calicutese"	"Staare Indijesne"	"sted i India"
"Palose"	"Palos"	"s"	"Palose, Palosasse"	"Staare Hellasisnie"	"sted i Hellas"
"Lisboa, Lissabone"	"Lisboa"	"s"	"Lisboa, Lisboese, Lissabone, Lissabonese"	"Staare Portugalesne"	"sted i Portugal"
"Bergene"	"Bergen"	"s"	"Bergene, Bergenasse"	"Staare Nöörjesne"	"sted i Norge"
"Trankebare"	"Trankebar"	"s"	"Trankebare, Trankebarese"	"Staare Indijesne"	"sted i India"
"Teherane"	"Teheran"	"s"	"Teherane, Teheranese"	"Staare Iranesne"	"sted i Iran"
"Sarajevo"	"Sarajevo"	"s"	"Sarajevo, Sarajevose"	"Staare Bosnia-Hercegovijesne"	"sted i Bosnia-Hercegovina"
"Stavangere"	"Stavanger"	"s"	"Stavangere, Stavangerasse"	"Staare Nöörjesne"	"sted i Norge"
"Lillehammere"	"Lillehammer"	"s"	"Lillehammere, Lillehammerasse"	"Staare Nöörjesne"	"sted i Norge"
"Drammene"	"Drammen"	"s"	"Drammene, Drammenasse"	"Staare Nöörjesne"	"sted i Norge"
"Skjåke"	"Skjåk"	"s"	"Skjåke, Skjåkese"	"Staare Nöörjesne"	"sted i Norge"
"Haldene"	"Halden"	"s"	"Haldene, Haldenasse"	"Staare Nöörjesne"	"sted i Norge"
"Mosse"	"Moss"	"prop"	"Mosse, Mossese"	"Staare Nöörjesne"	"sted i Norge"
"Askime"	"Askim"	"prop"	"Askime, Askimasse"	"Staare Nöörjesne"	"sted i Norge"
"Kongsvingere"	"Kongsvinger"	"prop"	"Kongsvingere, Kongsvingerasse"	"Staare Nöörjesne"	"sted i Norge"
"Elverume"	"Elverum"	"prop"	"Elverume, Elverumese"	"Staare Nöörjesne"	"sted i Norge"
"Hamare"	"Hamar"	"prop"	"Hamare, Hamarasse"	"Staare Nöörjesne"	"sted i Norge"
"Hortene"	"Horten"	"prop"	"Hortene, Hortenasse"	"Staare Nöörjesne"	"sted i Norge"
"Skiene"	"Skien"	"prop"	"Skiene, Skienasse"	"Staare Nöörjesne"	"sted i Norge"
"Nuuke"	"Nuuk"	"prop"	"Nuuke, Nuukese"	"Staare Kruanalaantesne"	"sted på Grønnland"
"Tokyo"	"Tokyo"	"prop"	"Tokyo, Tokyose"	"Staare Japanesne"	"sted i Japan"
"Seoule"	"Seoul"	"prop"	"Seoule, Seoulese"	"Staare Åarjel-Koreesne"	"sted i Sør-Korea"
"Sanghai"	"Sanghai"	"prop"	"Sanghai, Sanghaiese"	"Staare Kinesne"	"sted i Kina"
"Hongkonge"	"Honkong"	"prop"	"Hongkonge, Hongkongese"	"Staare Kinesne"	"sted i Kina"
"Giza"	"Giza"	"prop"	"Giza, Gizese"	"Staare Egyptesne"	"sted i Egypt"
"Herculaneume"	"Herculaneum"	"prop"	"Herculaneume, Herculaneumasse"	"Staare Romerrijhkesne"	"sted i Romerriket"
"Siena"	"Siena"	"prop"	"Siena, Sienese"	"Staare Italijesne"	"sted i Italia"
"Nidarose"	"Nidaros"	"prop"	"Nidarose, Nidarosese"	"Staare Nöörjesne"	"sted i Norge"
"Lübecke"	"Lübeck"	"prop"	"Lübecke, Lïbeckese"	"Staare Tysklaantesne"	"sted i Tyskland"
"Brügge"	"Brügge"	"prop"	"Brügge, Brüggese"	"Staare Belgijesne"	"sted i Belgia"
"Novgorode"	"Novgorod"	"prop"	"Novorode, Novgorodese"	"Staare Rysslaantesne"	"sted i Russland"
